
Vitamins,Units of measure,Intake Value
,Vitamin A,Micrograms RAE (mcg),900
,Vitamin C,Milligrams (mg),90
,Vitamin D,Micrograms (mcg),20
,Vitamin E,Milligrams (mg),15
,Vitamin K,Micrograms (mcg),120
,Thiamine,Milligrams (mg),1.2
,Riboflavin,Milligrams (mg),1.3
,Niacin,Milligrams NE(mg),16
,Pantothenic Acid,Milligrams (mg),5
,Biotin,Micrograms (mcg),30
,B6,Milligrams (mg),400
,B12,Micrograms(mcg),2.4
,Folate,Micrograms DFE (mcg),400
,Macrominerals,,
,Calcium,Milligrams (mg),1300
,Phosphorus,Milligrams (mg),1250
,Magnesium,Milligrams (mg),420
,Potassium,Milligrams (mg),4700
,Chloride,Milligrams (mg),2300
,Microminerals,,
,Chromium,Micrograms(mcg),35
,Choline,Milligrams(mg),550
,Copper,Milligrams(mg),0.9
,Iodine,Micrograms(mcg),150
,Iron,Milligrams(mg),18
,Manganese,Milligrams(mg),2.3
,Molybdenum,Micrograms(mcg),45
,Selenium,Micrograms(mcg),55
,Zinc,Milligrams(mg),11
,Food Components,,
,Fat,Grams (g),78
,Saturated,Grams (g),20
,Cholesterol,Milligrams (mg),300
,Total Carbohydrates,Grams (g),275
,Sodium,Milligrams (mg),2300
,Dietary Fiber,Grams (g),28
,Protein,Grams (g),50
,Added Sugars,Grams (g),50
